URL	CATEGORY
http://www.businessweek.com/news/2014-06-24/epa-extended-legal-victories-for-climate-change-moves	b
http://in.reuters.com/article/2014/05/09/oracle-google-ruling-idINL2N0NV14320140509	t
http://in.reuters.com/article/2014/06/19/blackberry-results-idINL2N0P00B220140619	b
http://in.reuters.com/article/2014/03/10/markets-global-idINL6N0M72LY20140310	b
http://www.huffingtonpost.com/2014/04/16/heaven-is-for-real-film_n_5160063.html\?utm_hp_ref=religion	e
http://in.reuters.com/article/2014/07/16/pfizer-study-idINL4N0PR3MQ20140716	m
http://www.huffingtonpost.com/2014/07/30/bob-beckel-bachelorette-slut_n_5633277.html	e
http://www.reuters.com/article/2014/07/08/southkorea-economy-idUSL4N0PJ1SO20140708	b
http://www.contactmusic.com/article/president-barack-obama-michelle-dj-frankie-knuckles_4164421	e
http://www.contactmusic.com/story/christina-aguilera-is-still-body-confident_4309376	e
http://www.contactmusic.com/article/lindsay-lohan-celebrates-birthday-filing-grand-theft-auto-v-lawsuit_4269999	e
http://www.contactmusic.com/story/new-michael-jackson-album-set-for-release_4133250	e
http://www.contactmusic.com/article/beyonce-and-solange-knowles-pictured-together-first-time-after-elevator-incident_4228975	e
http://in.reuters.com/article/2014/07/01/france-bonds-idINL6N0PC2P320140701	b
http://www.huffingtonpost.com/2014/04/10/katherine-heigl-duane-rea_n_5126114.html	e
http://www.reuters.com/article/2014/06/23/micros-syst-offer-idUSL4N0P433B20140623	b
http://www.huffingtonpost.com/2014/06/15/high-risk-wells_n_5495934.html	b
http://www.contactmusic.com/story/cliff-richard-disappointed-over-cancelled-morrissey-gig_4240190	e
http://www.reuters.com/article/2014/04/17/us-gm-recall-lawsuit-idUSBREA3F0VR20140417	b
http://www.businessweek.com/news/2014-06-03/facebook-buying-mobile-data-company-pryte	t
http://www.contactmusic.com/article/kelly-clarkson-brandon-blackstock-baby-twitter-92834	e
http://www.contactmusic.com/story/george-clooney-father-thrilled-with-engagement_4173971	e
http://www.reuters.com/article/2014/03/25/usa-chicago-derail-idUSL1N0MM16M20140325	b
http://www.huffingtonpost.com/jesse-coleman/fracking-rules-in-north-c_b_5352907.html\?utm_hp_ref=green	b
http://www.huffingtonpost.com/eva-m-clayton/housing-reform-should-cre_b_5229295.html	b
http://www.dailymail.co.uk/sciencetech/article-2679791/The-biggest-rocket-GO-Nasa-Boeing-sign-2-8bn-deal-build-SLS-Mars.html\?ITO=1490&amp;ns_mchannel=rss&amp;ns_campaign=1490	t
http://www.huffingtonpost.com/2014/05/16/barbara-walters-quotes_n_5274907.html	e
http://in.reuters.com/article/2014/03/28/americaneagle-pilots-idINL1N0MP10Z20140328	b
http://in.reuters.com/article/2014/05/21/japan-economy-boj-idINT9N0NT00220140521	b
